financial_year,reporting_period,month,organisation,org_code,org_name,region_code,region_name,sas_ordinary_elective,sas_daycase_elective,sas_elective_total,sas_non_elective,sas_first_attendances_GP_ref,sas_first_attendances_other_ref,sas_first_attendances_total,sas_first_attendances_DNA,sas_subsequent_attendances_seen,sas_subsequent_attendances_DNA,as_ordinary_elective,as_daycase_elective,as_elective_total,as_non_elective,as_first_attendances_GP_ref,as_first_attendances_other_ref,as_first_attendances_total,as_first_attendances_DNA,as_subsequent_attendances_seen,as_subsequent_attendances_DNA
2018-19,14,Feb-19,National,All,NA,NA,NA,109269,592598,701867,556591,959304,866380,1825684,138847,3539160,280070,112485,593998,706483,666581,1170127,1233373,2403500,183136,5206161,406878
2018-19,14,Mar-19,National,All,NA,NA,NA,123193,631989,755182,608608,1025059,928115,1953174,146528,3745453,289247,126850,633116,759966,730489,1245653,1315015,2560668,192762,5492539,419969
2019-20,14,Apr-19,National,All,NA,NA,NA,112715,601133,713848,593814,972567,940018,1912585,144562,3647064,291289,116154,602090,718244,711455,1195696,1324252,2519948,194469,5332476,417497
2019-20,14,May-19,National,All,NA,NA,NA,123150,634400,757550,615424,1015951,995960,2011911,155891,3816183,312503,126479,635325,761804,740308,1247005,1400278,2647283,206537,5573367,443993
2019-20,14,Jun-19,National,All,NA,NA,NA,119553,603302,722855,579559,979445,948847,1928292,150220,3611307,297728,122707,604184,726891,700878,1199787,1329138,2528925,197627,5258156,420614
2019-20,14,Jul-19,National,All,NA,NA,NA,125895,670223,796118,614949,1092771,1057181,2149952,169045,4026334,329359,129127,671205,800332,742225,1338086,1483574,2821660,222418,5873041,466415
2019-20,14,Aug-19,National,All,NA,NA,NA,116866,602104,718970,582952,932317,913904,1846221,146341,3474676,283003,119983,602962,722945,708530,1146634,1291830,2438464,193151,5126801,408090
2019-20,14,Sep-19,National,All,NA,NA,NA,116197,617374,733571,581624,1009605,986456,1996061,158205,3745061,310799,119255,618388,737643,704605,1235030,1382067,2617097,206743,5442586,438805
2019-20,14,Oct-19,National,All,NA,NA,NA,128895,677730,806625,625866,1114693,1066168,2180861,168597,4112480,333220,132185,678712,810897,752511,1363733,1505793,2869526,221008,5996109,473072
2019-20,14,Nov-19,National,All,NA,NA,NA,122926,645018,767944,610347,1043070,998238,2041308,156390,3855759,306880,125941,645952,771893,730169,1272167,1409001,2681168,205426,5611832,436502
2019-20,14,Dec-19,National,All,NA,NA,NA,104901,565408,670309,614917,903047,884482,1787529,145737,3344081,284030,107719,566204,673923,734269,1099856,1247123,2346979,190425,4890860,403886
2019-20,14,Jan-20,National,All,NA,NA,NA,114011,665678,779689,616970,1042043,1046295,2088338,161254,4055496,325701,116874,666711,783585,738476,1278724,1482165,2760889,212092,5898861,460538
2019-20,14,Feb-20,National,All,NA,NA,NA,113907,614742,728649,562479,968847,944353,1913200,140080,3600351,280217,116821,615652,732473,674880,1182780,1335164,2517944,183847,5246811,396365
2019-20,14,Mar-20,National,All,NA,NA,NA,91260,483775,575035,508255,811654,784158,1595812,145645,3241944,281910,94378,484458,578836,623028,987313,1130261,2117574,189498,4739655,399562
2020-21,14,Apr-20,National,All,NA,NA,NA,32082,158030,190112,369019,355477,430103,785580,54178,2069378,119324,34598,158341,192939,473192,443806,668179,1111985,73274,3134241,184170
2020-21,14,May-20,National,All,NA,NA,NA,39834,190591,230425,445601,421184,524061,945245,57763,2212032,125557,42397,190942,233339,559195,509244,768914,1278158,75386,3288130,186670
2020-21,14,Jun-20,National,All,NA,NA,NA,54910,282624,337534,490806,584760,713711,1298471,82843,2911488,175889,57580,283183,340763,604851,702328,1026617,1728945,106425,4204549,253030
2020-21,14,Jul-20,National,All,NA,NA,NA,74320,378137,452457,535566,659940,805864,1465804,97993,3184602,212883,77378,378911,456289,655481,808709,1152899,1961608,127831,4632807,307911
2020-21,14,Aug-20,National,All,NA,NA,NA,80818,386794,467612,523569,612916,760980,1373896,97350,2847141,212285,83559,387755,471314,639548,760751,1080600,1841351,127662,4175615,306217
2020-21,14,Sep-20,National,All,NA,NA,NA,90819,479064,569883,539793,776682,920402,1697084,128395,3522827,279976,93598,480439,574037,656520,955987,1297284,2253271,166059,5066585,390720
2020-21,14,Oct-20,National,All,NA,NA,NA,102101,523261,625362,540582,815195,932482,1747677,130603,3556345,285457,105243,524769,630012,658553,998563,1321641,2320204,169312,5143015,400268
2020-21,14,Nov-20,National,All,NA,NA,NA,88893,512309,601202,509733,845121,932385,1777506,138606,3612809,297098,91889,513773,605662,621268,1025435,1314740,2340175,178589,5229105,413948
2020-21,14,Dec-20,National,All,NA,NA,NA,80135,469490,549625,513799,758356,864783,1623139,129086,3265639,273112,83465,470530,553995,620375,916113,1212858,2128971,166618,4763217,384748
2020-21,14,Jan-21,National,All,NA,NA,NA,54731,393409,448140,492502,698258,816849,1515107,119852,3141340,261033,58000,394023,452023,600732,847490,1184679,2032169,156188,4578142,367387
2020-21,14,Feb-21,National,All,NA,NA,NA,59226,414670,473896,478734,722781,816802,1539583,105879,3161849,234175,62562,415511,478073,582563,868978,1159953,2028931,136943,4559929,327743
2020-21,14,Mar-21,National,All,NA,NA,NA,82027,537886,619913,569529,911139,988777,1899916,127706,3894799,280664,85723,538911,624634,687144,1091565,1393544,2485109,164366,5612283,390555
2018-19,14,Apr-18,Region of CCG,NA,NA,Y54,NORTH OF ENGLAND COMMISSIONING REGION,32120,179960,212080,173290,268575,243830,512400,39865,1118325,92960,32770,180025,212795,208225,316375,328740,645115,52090,1580165,140235
2018-19,14,Apr-18,Region of CCG,NA,NA,Y55,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,33645,179155,212800,167760,290605,240910,531515,37705,1004350,77560,34590,179390,213985,205220,371715,361860,733575,51970,1542090,114170
2018-19,14,Apr-18,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,14390,77645,92040,74865,171235,146455,317690,36345,633365,70305,15135,77915,93045,98065,204235,199090,403320,44905,888710,95025
2018-19,14,Apr-18,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,11620,59600,71220,57600,79405,73650,153060,9580,305710,19100,11895,59620,71510,67750,103220,115370,218590,14730,460540,30465
2018-19,14,Apr-18,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,17260,82385,99645,81645,159445,140370,299815,16865,512620,33620,17610,82415,100020,96080,196960,211165,408125,23255,826380,50970
2018-19,14,Apr-18,Region of CCG,NA,NA,Y99,NA,190,800,990,550,1945,1200,3145,245,3810,345,195,800,995,740,2145,1685,3830,300,5185,470
2018-19,14,May-18,Region of CCG,NA,NA,Y54,NORTH OF ENGLAND COMMISSIONING REGION,35875,192290,228160,183575,289115,264490,553600,44120,1188895,100325,36545,192375,228920,220515,339485,353705,693190,57565,1678980,149545
2018-19,14,May-18,Region of CCG,NA,NA,Y55,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,37725,192675,230400,178280,321205,261960,583165,42235,1072320,84475,38745,192965,231710,217875,406655,392315,798970,57810,1641180,123865
2018-19,14,May-18,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,16040,84450,100490,80880,187335,161550,348885,40635,677380,77165,16840,84750,101590,105805,221840,216785,438625,49665,951390,103500
2018-19,14,May-18,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,13455,64020,77475,59815,85045,79080,164125,10595,323620,20900,13780,64045,77825,70465,110425,124125,234545,15925,487805,32880
2018-19,14,May-18,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,19270,87810,107080,86610,174785,154125,328910,19295,553040,37100,19615,87855,107475,102195,214265,230035,444300,26170,890655,56000
2018-19,14,May-18,Region of CCG,NA,NA,Y99,NA,210,885,1095,585,2250,1310,3565,240,4050,380,215,890,1105,815,2455,1860,4315,290,5645,495
2018-19,14,Jun-18,Region of CCG,NA,NA,Y54,NORTH OF ENGLAND COMMISSIONING REGION,35045,186980,222025,175665,275840,256815,532655,42955,1136945,99550,35845,187040,222885,211790,324590,342505,667090,55785,1607705,147390
2018-19,14,Jun-18,Region of CCG,NA,NA,Y55,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,38235,188395,226630,173710,309790,256085,565875,41715,1033215,82855,39285,188610,227895,211745,391695,382415,774110,57310,1580760,120640
2018-19,14,Jun-18,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,16155,82500,98655,78150,180000,159390,339390,40605,662795,74470,16995,82800,99795,102190,213460,212395,425855,49405,928435,99445
2018-19,14,Jun-18,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,13465,62095,75560,57515,82625,76920,159545,10270,312975,20625,13825,62115,75935,67635,106670,120650,227320,15530,470660,32335
2018-19,14,Jun-18,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,19200,86880,106080,84410,170185,153040,323225,18805,535250,36270,19520,86910,106430,99615,208945,226920,435870,25590,858380,54560
2018-19,14,Jun-18,Region of CCG,NA,NA,Y99,NA,205,835,1035,585,2255,1320,3575,300,3860,395,210,835,1040,805,2425,1835,4260,345,5345,525
2018-19,14,Jul-18,Region of CCG,NA,NA,Y54,NORTH OF ENGLAND COMMISSIONING REGION,35060,191935,226990,178845,285930,264860,550785,45615,1175485,101075,35845,192065,227910,216740,334365,354735,689100,59805,1661675,151450
2018-19,14,Jul-18,Region of CCG,NA,NA,Y55,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,38195,192590,230780,179015,306900,253850,560750,42450,1026380,82770,39250,192850,232105,217825,389670,383120,772790,58715,1585870,121290
2018-19,14,Jul-18,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,15460,83795,99255,80450,183065,160780,343845,43990,674145,80455,16255,84180,100435,105505,217775,216680,434455,53465,944085,107200
2018-19,14,Jul-18,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,13070,63110,76180,58745,82735,79965,162695,10865,318970,21405,13395,63130,76525,69225,107830,125165,233000,16605,485300,34015
2018-19,14,Jul-18,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,18495,88620,107115,85110,171245,156740,327980,19785,548270,37510,18900,88665,107570,100640,210845,234090,444935,27090,880010,57100
2018-19,14,Jul-18,Region of CCG,NA,NA,Y99,NA,190,855,1045,625,2155,1330,3485,320,4080,425,195,855,1055,840,2345,1860,4205,395,5605,555
2018-19,14,Aug-18,Region of CCG,NA,NA,Y54,NORTH OF ENGLAND COMMISSIONING REGION,33785,187665,221450,176800,269410,245485,514895,42850,1115490,94295,34600,187750,222345,214005,315475,330925,646400,56725,1583160,142050
2018-19,14,Aug-18,Region of CCG,NA,NA,Y55,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,36465,186965,223430,176420,288040,237390,525425,38435,978125,77265,37470,187175,224645,215195,367305,361330,728630,53680,1522300,114025
2018-19,14,Aug-18,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,14860,79735,94595,78170,171450,156075,327530,42680,627210,75790,15655,80105,95760,102515,203500,209295,412795,52145,886335,102220
2018-19,14,Aug-18,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,12700,62040,74740,58490,77060,75815,152875,9790,302275,19675,13040,62080,75120,69060,101165,118935,220100,15300,461985,31750
2018-19,14,Aug-18,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,18215,84785,103005,84150,161640,149240,310885,18790,521190,35810,18590,84855,103440,99070,199475,222865,422340,25680,839950,54225
2018-19,14,Aug-18,Region of CCG,NA,NA,Y99,NA,160,745,905,540,1760,1210,2970,250,3575,385,170,745,915,750,1910,1715,3620,315,5030,505
2018-19,14,Sep-18,Region of CCG,NA,NA,Y54,NORTH OF ENGLAND COMMISSIONING REGION,33250,178015,211265,172690,269135,243365,512495,42720,1095505,93335,34050,178165,212215,209595,313260,325355,638615,55760,1542195,138245
2018-19,14,Sep-18,Region of CCG,NA,NA,Y55,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,36205,179060,215265,171315,293945,242220,536165,39895,994470,79105,37235,179255,216490,209080,374470,365810,740280,55090,1523790,115300
2018-19,14,Sep-18,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,14775,77200,91975,77215,168920,149180,318105,40860,634170,74055,15560,77525,93080,101360,199080,198705,397785,49475,864780,98250
2018-19,14,Sep-18,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,12570,58680,71250,56095,76065,73560,149625,9630,297520,19835,12860,58710,71570,66325,99410,115520,214925,14990,446560,31035
2018-19,14,Sep-18,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,18820,81300,100120,80910,159040,147475,306510,19090,514165,36330,19175,81330,100505,96000,194460,216015,410475,25715,810820,53970
2018-19,14,Sep-18,Region of CCG,NA,NA,Y99,NA,175,805,975,600,1920,1195,3115,240,3790,380,180,805,985,810,2050,1695,3745,310,5140,470
2018-19,14,Oct-18,Region of CCG,NA,NA,Y54,NORTH OF ENGLAND COMMISSIONING REGION,36340,205675,242015,187430,310400,282195,592595,47990,1265090,104030,37195,205770,242970,224940,362100,375920,738020,62895,1774525,155695
2018-19,14,Oct-18,Region of CCG,NA,NA,Y55,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,39685,205690,245375,186555,340250,278805,619055,45575,1145450,88205,40795,205970,246765,224850,433820,422145,855970,62515,1768270,129680
2018-19,14,Oct-18,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,16070,89065,105135,83100,185480,169590,355070,42700,690700,77850,16955,89490,106445,107585,233225,240545,473770,55825,1011470,108615
2018-19,14,Oct-18,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,13485,68000,81485,61610,87075,86390,173465,10650,346665,22050,13825,68020,81845,72015,115215,136680,251895,16745,522990,34840
2018-19,14,Oct-18,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,20215,92545,112760,87620,180575,166750,347325,20970,579130,40200,20660,92600,113260,103235,221900,246315,468215,28610,924665,60320
2018-19,14,Oct-18,Region of CCG,NA,NA,Y99,NA,215,865,1080,605,2130,1435,3570,275,4135,390,220,865,1085,800,2320,1985,4305,365,5655,525
2018-19,14,Nov-18,Region of CCG,NA,NA,Y54,NORTH OF ENGLAND COMMISSIONING REGION,36335,202515,238850,184435,301020,272670,573690,45045,1230115,99290,37210,202625,239835,220455,350885,362740,713625,59030,1726970,149130
2018-19,14,Nov-18,Region of CCG,NA,NA,Y55,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,39570,201175,240745,185045,332565,270110,602675,42430,1119480,83785,40890,201540,242430,222815,419625,407235,826860,58025,1717370,122825
2018-19,14,Nov-18,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,16735,87685,104420,82540,192525,174620,367150,43865,713515,79080,17700,88085,105785,106510,227990,233455,461445,53725,988060,105505
2018-19,14,Nov-18,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,13270,65780,79055,61770,86705,84480,171180,10285,338950,20945,13570,65810,79380,71705,112915,132315,245225,16050,510610,33170
2018-19,14,Nov-18,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,20235,90760,110995,88780,182260,163320,345580,20425,580860,38745,20680,90800,111480,103215,222030,240010,462040,27665,921465,58320
2018-19,14,Nov-18,Region of CCG,NA,NA,Y99,NA,195,895,1090,615,2090,1395,3485,245,4145,390,200,895,1095,790,2285,1895,4180,325,5580,495
2018-19,14,Dec-18,Region of CCG,NA,NA,Y54,NORTH OF ENGLAND COMMISSIONING REGION,30030,166185,196215,182205,240235,221625,461860,39380,983760,83500,30815,166265,197080,217875,279610,295085,574695,50815,1374065,123625
2018-19,14,Dec-18,Region of CCG,NA,NA,Y55,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,33100,168705,201805,183085,261985,215505,477485,36045,864750,68095,34255,169000,203255,219325,330930,324380,655315,49090,1346945,100705
2018-19,14,Dec-18,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,13510,71895,85405,82190,153375,143045,296420,36150,565210,63505,14390,72250,86640,106790,180940,191335,372275,44285,789565,85940
2018-19,14,Dec-18,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,10995,55010,66010,62100,69380,67330,136710,8720,269940,17775,11295,55025,66320,72035,89555,105170,194725,13350,406365,28075
2018-19,14,Dec-18,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,16695,74125,90815,87715,144755,134215,278970,17550,463475,32340,17080,74155,91235,102215,175220,194810,370030,23630,730805,47830
2018-19,14,Dec-18,Region of CCG,NA,NA,Y99,NA,170,695,870,545,1655,1195,2850,220,3335,335,180,695,875,750,1820,1635,3460,270,4545,435
2018-19,14,Jan-19,Region of CCG,NA,NA,Y54,NORTH OF ENGLAND COMMISSIONING REGION,31630,202360,233995,190055,292710,274800,567510,46490,1245970,101995,32420,202785,235205,226035,343130,366200,709330,60455,1744340,152925
2018-19,14,Jan-19,Region of CCG,NA,NA,Y55,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,35005,200755,235760,190685,319010,265390,584400,42020,1101715,84675,36240,201340,237585,227610,408455,403070,811525,58510,1710560,124925
2018-19,14,Jan-19,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,14800,87910,102710,83475,185660,179135,364795,43520,719590,80590,15705,88290,103995,107915,219555,237050,456610,52985,993200,106465
2018-19,14,Jan-19,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,11505,67625,79130,64330,85290,84405,169695,10540,345140,22125,11825,67655,79480,74455,111165,133075,244240,16190,517625,34470
2018-19,14,Jan-19,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,17705,92145,109855,91170,177135,164435,341570,20815,591620,41465,18145,92205,110350,105615,217025,242855,459875,28275,931945,61270
2018-19,14,Jan-19,Region of CCG,NA,NA,Y99,NA,165,915,1075,545,2085,1420,3505,255,4225,400,170,915,1085,705,2255,1925,4180,305,5765,510
2018-19,14,Feb-19,Region of CCG,NA,NA,Y54,NORTH OF ENGLAND COMMISSIONING REGION,31580,183445,215030,171780,265235,246355,511590,38740,1100455,85340,32270,183845,216115,203970,309575,327190,636765,49970,1542225,127730
2018-19,14,Feb-19,Region of CCG,NA,NA,Y55,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,34425,183605,218025,169630,288160,235930,524090,35130,973555,70780,35610,184115,219725,202905,368765,360575,729335,49055,1515445,104350
2018-19,14,Feb-19,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,14680,81500,96180,76155,168625,159420,328040,37910,642420,70685,15385,81920,97305,98455,198520,210800,409320,46120,875630,94305
2018-19,14,Feb-19,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,11055,60255,71310,56215,74420,74710,149135,9200,298270,18785,11290,60280,71570,65230,95950,115940,211885,13980,449555,29405
2018-19,14,Feb-19,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,17365,83040,100405,82285,160980,148745,309725,17650,520935,34165,17755,83085,100840,95335,195290,217210,412500,23750,818470,50685
2018-19,14,Feb-19,Region of CCG,NA,NA,Y99,NA,165,750,915,530,1885,1220,3105,210,3525,315,175,755,930,690,2030,1660,3690,265,4835,405
2018-19,14,Mar-19,Region of CCG,NA,NA,Y54,NORTH OF ENGLAND COMMISSIONING REGION,35765,194295,230065,185520,284350,262250,546600,40715,1158710,89510,36555,194600,231155,221095,330850,347640,678490,52515,1619840,133105
2018-19,14,Mar-19,Region of CCG,NA,NA,Y55,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,38440,195740,234180,185900,310355,263030,573385,38685,1046655,74305,39760,196145,235905,223155,394000,394155,788155,53315,1614490,109490
2018-19,14,Mar-19,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,16180,86525,102705,83390,178840,168125,346965,39380,674055,70480,17060,86870,103930,108065,210160,221710,431870,47725,918830,94630
2018-19,14,Mar-19,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,13015,65290,78305,61570,79875,80030,159905,9455,312545,19020,13280,65330,78610,71650,102920,124100,227020,14475,470555,29570
2018-19,14,Mar-19,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,19590,89290,108880,91605,169740,153380,323125,18065,549625,35595,19980,89325,109305,105725,205660,225590,431255,24460,863550,52730
2018-19,14,Mar-19,Region of CCG,NA,NA,Y99,NA,205,845,1045,620,1900,1295,3195,230,3865,335,215,850,1060,800,2065,1815,3880,275,5275,440
2019-20,14,Apr-19,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,16395,78665,95060,80905,168545,183140,351685,39175,637535,72680,17200,79060,96260,105465,199785,236770,436550,48440,881825,99280
2019-20,14,Apr-19,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,11980,62115,74090,60305,78825,80060,158890,9520,306970,19405,12190,62140,74330,69930,102680,124785,227465,14850,467655,31175
2019-20,14,Apr-19,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,17640,83695,101335,87465,158655,155350,314010,17840,538580,34985,18025,83745,101770,101360,195320,228665,423985,24750,853920,52810
2019-20,14,Apr-19,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,21815,118495,140310,117295,184870,165675,350545,23980,642630,45000,22635,118715,141350,138915,250975,253290,504265,35290,992605,68390
2019-20,14,Apr-19,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,13065,69900,82965,65130,108605,97725,206330,13270,382180,27640,13440,69980,83420,78455,128105,142600,270705,17015,590775,38485
2019-20,14,Apr-19,Region of CCG,NA,NA,Y62,NORTH WEST COMMISSIONING REGION,14180,83500,97680,86350,124325,110550,234875,21050,551750,46200,14390,83535,97925,102360,148105,154645,302750,29200,764895,66545
2019-20,14,Apr-19,Region of CCG,NA,NA,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,17495,103975,121470,95805,146925,146235,293160,19475,583645,45045,18110,104130,122240,114190,168775,181765,350535,24620,775620,60375
2019-20,14,Apr-19,Region of CCG,NA,NA,Y99,NA,145,790,935,560,1810,1275,3090,250,3775,335,155,790,945,780,1960,1730,3690,305,5170,440
2019-20,14,May-19,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,18990,83780,102775,83525,177650,198735,376385,41945,676415,77595,19805,84150,103955,108995,210310,257350,467660,51565,934210,105365
2019-20,14,May-19,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,12660,65390,78050,62640,82180,84080,166260,10295,320590,21485,12965,65400,78365,73040,107690,131205,238890,15925,488920,34020
2019-20,14,May-19,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,19365,89305,108670,90865,166105,165380,331485,19820,565950,38080,19710,89365,109075,105565,204200,242835,447035,27080,897610,57200
2019-20,14,May-19,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,23560,124735,148295,121165,191995,171980,363980,25430,670140,47380,24470,125010,149480,144850,260455,263990,524445,35715,1031415,71415
2019-20,14,May-19,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,14215,72985,87205,67555,114540,104105,218650,14665,399885,30335,14570,73065,87635,81410,133770,151120,284890,18785,618800,41705
2019-20,14,May-19,Region of CCG,NA,NA,Y62,NORTH WEST COMMISSIONING REGION,15280,89370,104650,90090,127995,116770,244765,22610,571255,49325,15500,89410,104910,107385,152595,162420,315015,31200,792015,70130
2019-20,14,May-19,Region of CCG,NA,NA,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,18900,108005,126905,99045,153470,153530,307000,20890,607980,47960,19275,108100,127375,118290,175820,189505,365325,25970,804915,63695
2019-20,14,May-19,Region of CCG,NA,NA,Y99,NA,175,825,1000,545,2010,1370,3380,235,3975,350,180,825,1010,770,2170,1855,4025,295,5490,465
2019-20,14,Jun-19,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,18225,79945,98170,79085,170315,192805,363120,40190,644745,73960,18985,80295,99280,103530,200440,247585,448030,49215,883965,99750
2019-20,14,Jun-19,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,12170,62555,74725,58160,79710,80470,160185,10200,307685,20160,12495,62575,75065,68215,104215,125575,229790,15340,466630,31780
2019-20,14,Jun-19,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,18405,85540,103945,86745,159560,156750,316305,18885,530235,37430,18735,85590,104325,101190,196085,229285,425365,25655,839965,55575
2019-20,14,Jun-19,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,22770,117480,140250,114210,183925,162305,346230,24245,632590,44885,23550,117725,141280,137190,249660,247865,497520,34160,969090,67600
2019-20,14,Jun-19,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,14095,69425,83520,64010,110920,99660,210580,14375,377385,28625,14470,69480,83950,77700,128905,143915,272820,18150,583485,39370
2019-20,14,Jun-19,Region of CCG,NA,NA,Y62,NORTH WEST COMMISSIONING REGION,14870,85215,100085,84305,124195,109670,233870,21835,537970,45845,15090,85255,100345,100885,148355,152800,301155,29835,747955,65320
